1708140731.711486 P  %CPU     PID USER      PR  NI    VIRT    RES    SHR S  %MEM     TIME+ COMMAND
1708140731.711537 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   0:00.22 test-cpu-determinism.clogt.exe
1708140732.757417 4  99.1   72353 root       0 -20    8380   1124   1020 R   0.0   0:01.27 test-cpu-determinism.clogt.exe
1708140733.810987 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   0:02.32 test-cpu-determinism.clogt.exe
1708140734.863753 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   0:03.37 test-cpu-determinism.clogt.exe
1708140735.917660 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   0:04.43 test-cpu-determinism.clogt.exe
1708140736.965995 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   0:05.48 test-cpu-determinism.clogt.exe
1708140738.019188 4  99.1   72353 root       0 -20    8380   1124   1020 R   0.0   0:06.53 test-cpu-determinism.clogt.exe
1708140739.065728 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   0:07.58 test-cpu-determinism.clogt.exe
1708140740.112437 4  99.0   72353 root       0 -20    8380   1124   1020 R   0.0   0:08.62 test-cpu-determinism.clogt.exe
1708140741.159211 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   0:09.67 test-cpu-determinism.clogt.exe
1708140742.217145 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   0:10.72 test-cpu-determinism.clogt.exe
1708140743.285289 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   0:11.79 test-cpu-determinism.clogt.exe
1708140744.348759 4  99.1   72353 root       0 -20    8380   1124   1020 R   0.0   0:12.85 test-cpu-determinism.clogt.exe
1708140745.398257 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   0:13.90 test-cpu-determinism.clogt.exe
1708140746.446293 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   0:14.95 test-cpu-determinism.clogt.exe
1708140747.506005 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   0:16.01 test-cpu-determinism.clogt.exe
1708140748.556458 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   0:17.06 test-cpu-determinism.clogt.exe
1708140749.605411 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   0:18.11 test-cpu-determinism.clogt.exe
1708140750.653478 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   0:19.16 test-cpu-determinism.clogt.exe
