1708150239.548825 P  %CPU     PID USER      PR  NI    VIRT    RES    SHR S  %MEM     TIME+ COMMAND
1708150239.548968 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:00.46 test-cpu-determinism.clogt.exe
1708150240.800622 4  99.2  102431 root       0 -20    8380   1104   1000 R   0.0   0:01.71 test-cpu-determinism.clogt.exe
1708150242.040953 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:02.95 test-cpu-determinism.clogt.exe
1708150243.254287 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:04.16 test-cpu-determinism.clogt.exe
1708150244.536325 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:05.44 test-cpu-determinism.clogt.exe
1708150245.774766 4  96.1  102431 root       0 -20    8380   1104   1000 R   0.0   0:06.68 test-cpu-determinism.clogt.exe
1708150246.981270 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:07.89 test-cpu-determinism.clogt.exe
1708150248.194791 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:09.10 test-cpu-determinism.clogt.exe
1708150249.429460 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:10.34 test-cpu-determinism.clogt.exe
1708150250.673887 4  96.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:11.58 test-cpu-determinism.clogt.exe
1708150251.885123 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:12.79 test-cpu-determinism.clogt.exe
1708150253.096919 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:14.00 test-cpu-determinism.clogt.exe
1708150254.302613 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:15.21 test-cpu-determinism.clogt.exe
1708150255.512408 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:16.42 test-cpu-determinism.clogt.exe
1708150256.774381 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:17.68 test-cpu-determinism.clogt.exe
1708150257.988972 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:18.90 test-cpu-determinism.clogt.exe
1708150259.238520 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:20.15 test-cpu-determinism.clogt.exe
1708150260.445646 4  96.0  102431 root       0 -20    8380   1104   1000 R   0.0   0:21.35 test-cpu-determinism.clogt.exe
1708150261.674179 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:22.58 test-cpu-determinism.clogt.exe
1708150262.883182 4  99.2  102431 root       0 -20    8380   1104   1000 R   0.0   0:23.79 test-cpu-determinism.clogt.exe
1708150264.116750 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:25.02 test-cpu-determinism.clogt.exe
1708150265.325617 4  99.2  102431 root       0 -20    8380   1104   1000 R   0.0   0:26.23 test-cpu-determinism.clogt.exe
1708150266.561953 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:27.47 test-cpu-determinism.clogt.exe
1708150266.562041 4   0.8   64015 root      20   0       0      0      0 I   0.0   0:00.41 [kworker/4:2-events]
1708150267.774121 4  98.4  102431 root       0 -20    8380   1104   1000 R   0.0   0:28.68 test-cpu-determinism.clogt.exe
1708150268.991310 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:29.90 test-cpu-determinism.clogt.exe
1708150270.202397 4  98.4  102431 root       0 -20    8380   1104   1000 R   0.0   0:31.11 test-cpu-determinism.clogt.exe
1708150271.405842 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:32.31 test-cpu-determinism.clogt.exe
1708150272.611327 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:33.52 test-cpu-determinism.clogt.exe
1708150273.871947 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:34.78 test-cpu-determinism.clogt.exe
1708150275.085661 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:35.99 test-cpu-determinism.clogt.exe
1708150276.293157 4  99.2  102431 root       0 -20    8380   1104   1000 R   0.0   0:37.20 test-cpu-determinism.clogt.exe
1708150277.507156 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:38.41 test-cpu-determinism.clogt.exe
1708150278.754024 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:39.66 test-cpu-determinism.clogt.exe
1708150279.981743 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:40.88 test-cpu-determinism.clogt.exe
1708150281.221894 4  98.4  102431 root       0 -20    8380   1104   1000 R   0.0   0:42.12 test-cpu-determinism.clogt.exe
1708150282.459381 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:43.36 test-cpu-determinism.clogt.exe
1708150283.712184 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:44.62 test-cpu-determinism.clogt.exe
1708150284.955184 4  99.2  102431 root       0 -20    8380   1104   1000 R   0.0   0:45.86 test-cpu-determinism.clogt.exe
1708150286.177548 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:47.08 test-cpu-determinism.clogt.exe
1708150287.395601 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:48.30 test-cpu-determinism.clogt.exe
1708150288.645684 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:49.55 test-cpu-determinism.clogt.exe
1708150289.880490 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:50.79 test-cpu-determinism.clogt.exe
1708150291.115788 4  99.2  102431 root       0 -20    8380   1104   1000 R   0.0   0:52.02 test-cpu-determinism.clogt.exe
1708150292.328824 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:53.23 test-cpu-determinism.clogt.exe
1708150293.540188 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:54.44 test-cpu-determinism.clogt.exe
1708150294.782919 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   0:55.69 test-cpu-determinism.clogt.exe
